symptoms,prescription
"night sweats, fatigue, runny nose, diarrhea","salbutamol inhaler prn, levocetirizine 5mg od, ecg test"
"ear pain, muscle pain, dizziness, sore throat","multivitamin daily, amoxicillin 500mg tid, atorvastatin 10mg od, blood sugar test"
"abdominal pain, ear pain, productive cough","hydrocortisone cream bid, doxycycline 100mg bid, diclofenac 50mg bid, urine analysis"
"loss of taste, dizziness, eye redness","ibuprofen 400mg bid, loratadine 10mg od, urine analysis"
"sore throat, back pain, cough","amoxicillin 500mg tid, diclofenac 50mg bid, paracetamol 500mg tid, x-ray chest, dengue test"
"burning urination, headache, eye redness","atorvastatin 10mg od, diclofenac 50mg bid, dengue test, liver function test"
"cough, fatigue, skin rash","iron supplements od, doxycycline 100mg bid, paracetamol 500mg tid, stool test"
"itching, ear pain, shortness of breath","iron supplements od, azithromycin 500mg od, cetirizine 10mg od, dengue test"
"muscle pain, chest pain, itching","paracetamol 500mg tid, azithromycin 500mg od, dengue test, x-ray chest"
"dizziness, chest pain","multivitamin daily, doxycycline 100mg bid, hydrocortisone cream bid, dengue test, kidney function test"
"fatigue, chest pain, shortness of breath","ibuprofen 400mg bid, doxycycline 100mg bid, levocetirizine 5mg od, stool test, malaria parasite test"
"itching, skin rash","pantoprazole 40mg od, levocetirizine 5mg od, dengue test, cbc blood test"
"swelling, sore throat","levocetirizine 5mg od, oral rehydration salts, hydrocortisone cream bid, blood sugar test"
"cough, runny nose, sore throat","levocetirizine 5mg od, salbutamol inhaler prn, ecg test, cbc blood test"
"headache, loss of smell, weight loss","atorvastatin 10mg od, loratadine 10mg od, cetirizine 10mg od, liver function test"
"headache, chest pain, fatigue","cetirizine 10mg od, ondansetron 4mg tid, amoxicillin 500mg tid, urine analysis, x-ray chest"
"muscle pain, eye redness","metronidazole 400mg tid, ibuprofen 400mg bid, amoxicillin 500mg tid, dengue test"
"fatigue, night sweats","levocetirizine 5mg od, ibuprofen 400mg bid, oral rehydration salts, kidney function test"
"vomiting, back pain","atorvastatin 10mg od, multivitamin daily, amoxicillin 500mg tid, dengue test"
"body ache, itching","iron supplements od, ondansetron 4mg tid, urine analysis, throat swab culture"
"ear pain, eye redness, loss of taste, fever","diclofenac 50mg bid, paracetamol 500mg tid, hydrocortisone cream bid, malaria parasite test, ecg test"
"back pain, skin rash, loss of taste","doxycycline 100mg bid, paracetamol 500mg tid, dengue test, cbc blood test"
"productive cough, muscle pain, palpitations","multivitamin daily, azithromycin 500mg od, ondansetron 4mg tid, x-ray chest, kidney function test"
"joint pain, palpitations, burning urination","ibuprofen 400mg bid, ondansetron 4mg tid, loratadine 10mg od, urine analysis, throat swab culture"
"ear pain, body ache, sneezing","oral rehydration salts, atorvastatin 10mg od, cbc blood test, throat swab culture"
"dizziness, sore throat, back pain, ear pain","atorvastatin 10mg od, doxycycline 100mg bid, serum electrolytes, dengue test"
"difficulty breathing, swelling, fever, productive cough","iron supplements od, metronidazole 400mg tid, dengue test, liver function test"
"shortness of breath, joint pain","levocetirizine 5mg od, hydrocortisone cream bid, throat swab culture, liver function test"
"weight loss, loss of appetite","pantoprazole 40mg od, iron supplements od, loratadine 10mg od, urine analysis, cbc blood test"
"runny nose, night sweats","hydrocortisone cream bid, ibuprofen 400mg bid, cetirizine 10mg od, cbc blood test, blood sugar test"
"weight loss, fatigue","azithromycin 500mg od, amoxicillin 500mg tid, x-ray chest"
"burning urination, skin rash","iron supplements od, diclofenac 50mg bid, loratadine 10mg od, kidney function test, stool test"
"loss of appetite, difficulty breathing","multivitamin daily, metronidazole 400mg tid, spirometry, blood sugar test"
"ear pain, abdominal pain","ondansetron 4mg tid, diclofenac 50mg bid, x-ray chest"
"productive cough, difficulty breathing","hydrocortisone cream bid, oral rehydration salts, pantoprazole 40mg od, x-ray chest"
